timestamp,acceleration
58.541,0.018
58.549,0.017
58.665,0.017
58.672,0.018
58.686,0.018
58.702,0.017
58.782,0.017
58.808,0.018
58.916,0.017
58.924,0.018
58.932,0.017
58.972,0.018
59.032,0.017
59.061,0.018
59.124,0.018
59.149,0.017
59.19,0.018
59.215,0.017
59.265,0.017
59.324,0.018
59.367,0.017
59.375,0.018
59.431,0.017
59.457,0.018
59.539,0.018
59.565,0.017
59.64,0.018
59.648,0.017
59.708,0.018
59.714,0.017
59.783,0.017
59.792,0.018
59.824,0.018
59.831,0.017
59.933,0.017
59.968,0.018
59.998,0.017
60.042,0.018
60.072,0.018
60.135,0.017
60.156,0.018
60.167,0.017
60.282,0.017
60.292,0.018
60.373,0.018
60.381,0.017
60.43,0.017
60.442,0.018
60.466,0.017
60.474,0.018
60.581,0.017
60.592,0.018
60.64,0.018
60.682,0.017
60.732,0.017
60.757,0.018
60.832,0.017
60.857,0.018
60.884,0.017
60.894,0.018
61.001,0.017
61.007,0.018
61.057,0.018
61.065,0.017
61.166,0.017
61.174,0.018
61.207,0.018
61.233,0.016
61.272,0.016
61.324,0.018
61.407,0.018
61.415,0.016
61.482,0.017
61.508,0.018
61.542,0.018
61.582,0.017
61.637,0.017
61.675,0.018
61.691,0.018
61.7,0.016
61.792,0.018
61.831,0.017
61.883,0.017
61.907,0.018
61.932,0.016
61.992,0.018
62.032,0.017
62.074,0.018
62.15,0.017
62.158,0.018
62.175,0.018
62.233,0.017
62.275,0.018
62.3,0.017
62.333,0.017
62.36,0.018
62.477,0.018
62.483,0.017
62.525,0.018
62.53,0.017
62.576,0.018
62.617,0.017
62.652,0.017
62.658,0.018
62.74,0.018
62.768,0.017
62.833,0.017
62.842,0.018
62.937,0.018
62.95,0.017
63.017,0.017
63.042,0.018
63.058,0.018
63.067,0.017
63.135,0.017
63.207,0.018
63.225,0.018
63.249,0.017
63.3,0.016
63.307,0.018
63.375,0.018
63.418,0.017
63.501,0.017
63.507,0.018
63.557,0.018
63.584,0.017
63.633,0.017
63.642,0.018
63.725,0.018
63.751,0.017
63.792,0.018
63.799,0.017
63.875,0.018
63.917,0.017
63.941,0.018
63.968,0.017
64.025,0.018
64.033,0.017
64.117,0.017
64.125,0.018
64.225,0.018
64.25,0.017
64.3,0.017
64.342,0.018
64.343,0.018
64.351,0.017
64.441,0.018
64.5,0.017
64.508,0.018
64.551,0.017
64.617,0.017
64.627,0.018
64.69,0.018
64.7,0.017
64.778,0.018
64.817,0.017
64.899,0.017
64.907,0.018
64.955,0.018
64.982,0.017
64.993,0.018
65.022,0.017
65.095,0.018
65.115,0.017
65.167,0.017
65.192,0.018
65.242,0.018
65.303,0.017
65.335,0.017
65.374,0.018
65.409,0.018
65.468,0.017
65.484,0.017
65.492,0.018
65.592,0.018
65.6,0.017
65.677,0.018
65.7,0.017
65.732,0.016
65.775,0.018
65.802,0.017
65.875,0.018
65.927,0.018
65.95,0.017
66.026,0.018
66.034,0.017
66.076,0.018
66.117,0.017
66.146,0.018
66.184,0.017
66.235,0.017
66.259,0.018
66.305,0.017
66.308,0.018
66.4,0.017
66.408,0.018
66.45,0.017
66.509,0.018
66.526,0.018
66.568,0.017
66.608,0.018
66.684,0.017
66.692,0.018
66.751,0.017
66.769,0.017
66.808,0.018
66.85,0.017
66.893,0.018
66.985,0.017
67.01,0.018
67.018,0.017
67.041,0.018
67.143,0.018
67.169,0.017
67.193,0.018
67.251,0.017
67.26,0.018
67.319,0.017
67.334,0.017
67.41,0.018
67.467,0.017
67.475,0.018
67.542,0.018
67.565,0.017
67.593,0.018
67.601,0.016
67.701,0.017
67.726,0.018
67.751,0.017
67.792,0.018
67.886,0.017
67.892,0.018
67.943,0.018
67.969,0.017
68.052,0.017
68.061,0.018
68.118,0.017
68.127,0.018
68.143,0.018
68.217,0.017
68.284,0.017
68.293,0.018
68.334,0.017
68.344,0.018
68.386,0.017
68.393,0.018
68.468,0.017
68.544,0.018
68.55,0.017
68.625,0.018
68.684,0.017
68.699,0.018
68.709,0.018
68.767,0.017
68.792,0.018
68.835,0.017
68.87,0.017
68.907,0.018
68.959,0.018
69.002,0.017
69.034,0.017
69.045,0.018
69.138,0.018
69.185,0.017
69.235,0.017
69.244,0.018
69.295,0.018
69.302,0.017
69.377,0.018
69.433,0.017
69.46,0.018
69.505,0.017
69.526,0.018
69.535,0.017
69.6,0.017
69.645,0.018
69.7,0.017
69.727,0.018
69.77,0.017
69.828,0.018
69.892,0.018
69.902,0.017
